PLAYER COMMANDS (CCommand)
==========================

Every player action in the game is a command object, posted to the
game's own command queue. The path a mouse click takes. NOT a cheat:
the game still applies its own rules through CanExecute.

Addresses are relative to the image base. ARGS is how many arguments
the constructor takes; FIELDS lists offset:kind pairs on the object.


COMMAND                                        CTOR          VTABLE        ARGS  FIELDS
CSetConveyorPriorityCommand                    img+0x20DA960 img+0x42B6380 4     0x24:handle,0x2C:int
CSetConveyorSeriesCommand                      img+0x20DABD0 img+0x42B6458 4     0x24:handle,0x2C:int
CSetCountryControllerCommand                   img+0x1BAFA60 img+0x4266148 2     0x24:deref,0x28:int
CSetCountryControllerTypeCommand               img+0x1BB2790 img+0x42664A8 2     0x24:deref,0x28:int
CSetCountryGarrisonPriorityCommand             img+0x1BFF8B0 img+0x426A460 2     0x24:deref,0x28:int
CSetCountryGarrisonTemplateCommand             img+0x1BFD0D0 img+0x4269BF0 4     0x24:deref,0x28:deref
CSetCountryOperationsPriorityCommand           img+0x1BFF180 img+0x426A1D8 2     0x24:deref,0x28:int
CSetCountryRaidsPriorityCommand                img+0x1BFF3E0 img+0x426A2B0 2     0x24:deref,0x28:int
CSetCountryReinforcementPriorityCommand        img+0x1BFE580 img+0x426A028 2     0x24:deref,0x28:int
CSetCountryUpgradePriorityCommand              img+0x1BFF6B0 img+0x426A388 2     0x24:deref,0x28:int
CSetDLCsCommand                                img+0x201DEA0 img+0x42B32D8 1     0x24:int
CSetDefaultCountryOccupationPolicyCommand      img+0x1BFBA60 img+0x4269890 2     0x24:deref
CSetDeploymentLineNameCommand                  img+0x20DBF10 img+0x42B6A40 4     0x24:handle,0x30:handle,0x50:int
CSetDivisionNameCommand                        img+0x23ED450 img+0x42CAA68 4     0x24:field0x18,0x30:field0x18,0x50:int
CSetDivisionTemplateSymbolCommand              img+0x1EE3560 img+0x42AB590 4     0x24:handle,0x2C:int
CSetEquipmentVariantHighlightCommand           img+0xCBE970  img+0x41E34D0 4     0x24:handle
CSetEquipmentVariantNameListCommand            img+0xCC05A0  img+0x41E39E0 4     0x24:handle,0x30:handle,0x38:ptr,0x40:ptr
